,pid
4491,1635
319388,247594
178549,60862
318194,345533
139411,58275
229649,58365
116074,49822
519470,478592
604744,608559
234780,67838
569634,560877
236677,92486
509434,761957
659299,19661
145983,61209
149084,50321
638440,226828
249942,175231
253459,195133
478990,437378
204053,94935
454330,398232
134169,53712
238752,5994
627293,647274
474689,431440
195841,87768
606605,615626
466271,411888
156910,64702
495249,459894
513506,477289
230569,60870
41181,5935
543963,522965
252382,178094
46384,5405
152777,64729
361823,287563
574398,566331
467380,411181
232701,169937
150650,63222
139842,67021
251857,177522
630117,656847
457288,393615
286533,212847
256985,184601
588833,590881
355885,286314
438284,384939
134723,25915
132082,53779
685926,772455
481069,437982
160209,57234
519261,480575
438255,431754
206793,63153
449605,398849
32630,594088
106876,103490
237939,103295
541780,519045
253214,213424
338699,438147
517730,479226
164262,68784
39361,5426
81683,36146
272141,195509
328160,250559
572825,566450
516399,479948
199018,91149
477465,437524
147434,63942
486411,495833
420740,345925
513394,477673
138299,57925
249248,174239
635995,345842
277422,203637
561905,547358
263810,190415
35841,4455
484960,444117
447268,397757
237143,97138
426466,351414
319197,251188
521996,494006
323996,249850
259539,184360
639082,668414
442559,395885
139665,58310
487677,449370
132357,53777
236977,95767
206424,68429
220753,165746
222630,57191
263649,192141
161110,67849
567985,557114
261862,227279
310893,234786
95608,57288
111535,57512
633539,660910
59808,183071
432293,443580
228414,57242
349859,273669
237890,103149
90670,27011
226342,532554
164047,68710
660073,686807
272083,195498
24443,2450
227607,57411
